,publisher,author,isbn,date,title,weeks_on_list,no_of_words_title
272,"Little, Brown & Company",Michael Connelly,None,2011-10-30,SUICIDE RUN,3,2
273,Penguin Group,Stuart Woods,None,2011-02-27,STRATEGIC MOVES,3,2
274,Delacorte,Danielle Steel,1101884037,2018-06-09,THE CAST,2,2
275,Morrow,Dorothea Benton Frank,0062390821,2018-06-09,BY INVITATION ONLY,2,3
276,Zebra,Lisa Jackson and Nancy Bush,1420136135,2018-05-20,ONE LAST BREATH,2,3
277,Putnam,Stuart Woods,073521722X,2018-05-06,SHOOT FIRST,2,2
278,Putnam,CJ Box,0399176624,2018-04-22,THE DISAPPEARED,2,2
279,Delacorte,Danielle Steel,1101884096,2018-04-15,ACCIDENTAL HEROES,2,2
280,Putnam,Clive Cussler and Graham Brown,0735215537,2018-04-08,THE RISING SEA,2,3
281,Ballantine,Jonathan Kellerman,0345541472,2018-03-11,NIGHT MOVES,2,2
282,Delacorte,Danielle Steel,1101884002,2018-02-18,FALL FROM GRACE,2,3
283,Berkley,Christine Feehan,0451488512,2018-02-18,JUDGMENT ROAD,2,2
284,Grand Central,Douglas Preston and Lincoln Child,145553692X,2018-02-11,CITY OF ENDLESS NIGHT,2,4
285,Morrow,Karin Slaughter,0062430262,2018-01-14,THE GOOD DAUGHTER,2,3
286,Bantam,Dean Koontz,0345546784,2017-12-03,THE SILENT CORNER,2,3
287,Putnam,Clive Cussler and Boyd Morrison,039957557X,2017-12-03,TYPHOON FURY,2,2
288,Simon & Schuster,Mary Higgins Clark and Alafair Burke,150117164X,2017-12-03,EVERY BREATH YOU TAKE,2,4
289,Berkley,Christine Feehan,0399583971,2017-11-19,LEOPARD'S BLOOD,2,2
290,Knopf,Tom Hanks,1101946156,2017-11-19,UNCOMMON TYPE,2,2
291,Delacorte,Danielle Steel,1101884061,2017-11-05,FAIRYTALE,2,1
292,Minotaur,Louise Penny,1250066190,2017-09-24,GLASS HOUSES,2,2
293,Delacorte,Danielle Steel,0345531086,2017-07-23,THE DUCHESS,2,2
294,Putnam,Mike Maden,0735215863,2017-07-09,TOM CLANCY: POINT OF CONTACT,2,5
295,Morrow,Dorothea Benton Frank,0062390783,2017-06-11,"SAME BEACH, NEXT YEAR",2,4
296,Delacorte,Danielle Steel,110188391X,2017-05-28,AGAINST ALL ODDS,2,3
297,St. Martin's,Lisa Scottoline,1250099587,2017-05-07,ONE PERFECT LIE,2,3
298,HQN,Linda Lael Miller,037378970X,2017-04-16,FOREVER A HERO,2,3
299,Putnam,C J Box,0399176616,2017-04-16,VICIOUS CIRCLE,2,2
300,Delacorte,Danielle Steel,110188388X,2017-04-02,DANGEROUS GAMES,2,2
301,Ballantine,Jonathan Kellerman,0345541448,2017-03-12,HEARTBREAK HOTEL,2,2
302,Random House,George Saunders,0812995341,2017-03-12,LINCOLN IN THE BARDO,2,4
303,Putnam,Stuart Woods,None,2017-01-29,BELOW THE BELT,2,3
304,St. Martin's,B A Paris,1250121019,2016-12-18,BEHIND CLOSED DOORS,2,3
305,Tijan,Tijan,None,2016-09-18,ANTI-STEPBROTHER,2,1
306,Ballantine,Tess Gerritsen,0345543866,2016-08-07,DIE AGAIN,2,2
307,Putnam,Grant Blackwood,0399176802,2016-07-10,TOM CLANCY: DUTY AND HONOR,2,5
308,"Little, Brown",James Patterson with Max DiLallo,0316317128,2016-07-03,ZOO 2,2,2
309,Ballantine,Justin Cronin,0804177643,2016-06-19,THE CITY OF MIRRORS,2,4
310,Lauren Blakely,Lauren Blakely,None,2016-05-29,MISTER O,2,2
311,Knopf,Richard Russo,0307270645,2016-05-29,EVERYBODY'S FOOL,2,2
312,Minotaur,Steve Berry,1466862610,2016-05-01,THE 14TH COLONY,2,3
313,Anchor,Lincoln Child,0385531397,2016-04-10,THE THIRD GATE,2,3
314,Grand Central,Jeffery Deaver,1455536369,2016-04-03,THE STEEL KISS,2,3
315,St. Martin's,Lisa Scottoline,1466842040,2016-03-20,KEEP QUIET,2,2
316,Penelope Ward,Penelope Ward,1942215363,2016-03-13,ROOMHATE,2,1
317,Touchstone,J A Jance,None,2016-02-07,COLD BETRAYAL,2,2
318,Lucasbooks,Alan Dean Foster,1101965495,2016-01-31,THE FORCE AWAKENS,2,3
319,Mira,Mary Kubica,1460330196,2015-12-20,THE GOOD GIRL,2,3
320,Simon & Schuster,Mary Higgins Clark and Alafair Burke,1501108557,2015-12-13,ALL DRESSED IN WHITE,2,4
321,Grand Central,Douglas Preston and Lincoln Child,1455525936,2015-12-06,CRIMSON SHORE,2,2
322,Putnam,J D Robb,None,2015-10-11,DEVOTED IN DEATH,2,3
323,EverAfter Romance,Alessandra Torre,None,2015-10-04,HOLLYWOOD DIRT,2,2
324,Del Rey,Chuck Wendig,034551162X,2015-09-27,STAR WARS: AFTERMATH,2,3
325,"Farrar, Straus & Giroux",Jonathan Franzen,0374239215,2015-09-27,PURITY,2,1
326,Mira,Ron Carr,1460382072,2015-07-26,A NEW HOPE,2,3
327,Putnam,Grant Blackwood,None,2015-07-12,TOM CLANCY UNDER FIRE,2,4
328,CreateSpace,Jamie McGuire,None,2015-06-21,BEAUTIFUL SACRIFICE,2,2
329,Putnam,Stuart Woods,None,2015-05-03,HOT PURSUIT,2,2
330,Putnam,J D Robb,0698161440,2015-03-08,OBSESSION IN DEATH,2,3
331,Metal Blonde,Karina Halle,None,2015-01-25,THE PACT,2,2
332,Melanie Marchande,Melanie Marchande,None,2014-12-07,HIS SECRETARY,2,2
333,Knopf,Anne Rice,0307962520,2014-11-23,PRINCE LESTAT,2,2
334,Putnam,Clive Cussler,None,2014-11-23,HAVANA STORM,2,2
335,Knopf,Haruki Murakami,0385352107,2014-09-07,COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIMAGE,2,8
336,Morrow/HarperCollins,Hazel Gaynor,0062316877,2014-06-15,THE GIRL WHO CAME HOME,2,5
337,St. Martin's,Jeffrey Archer,None,2014-04-06,BE CAREFUL WHAT YOU WISH FOR,2,6
338,Tor/Tom Doherty,Brandon Sanderson,None,2014-03-30,WORDS OF RADIANCE,2,3
