,isbn,ratings_count,reviews_count,text_reviews_count,work_ratings_count,work_reviews_count,work_text_reviews_count,average_rating
0,039959342X,672,1312,104,9571,34570,919,4.25
0,0525509712,33494,80805,3472,58218,149649,6038,3.95
0,037379939X,1376,3544,226,2180,6067,278,4.11
0,0062379461,6834,13616,1002,9592,19237,1417,3.92
0,0553392751,23,41,4,11883,24033,1198,3.62
0,1501125516,8,21,0,8234,19954,866,4.08
0,0062319221,2058,4721,320,6798,16897,995,3.63
0,0062664425,22,34,6,18744,36763,2142,4.09
0,1101987812,101,125,29,13430,29394,1467,4.26
0,0735217130,6,14,0,3951,8393,319,3.82
0,1451687591,5499,14048,386,6747,17287,467,4.18
0,0062388185,8256,16217,970,11942,23449,1349,3.87
0,0062289268,116,167,37,27796,51615,2616,4.52
0,0778330222,171,544,22,2506,6200,252,4.17
0,0062410199,11,29,3,2835,7839,318,3.61
0,1455553522,3,5,2,5458,17830,695,3.66
0,0062129406,25,48,8,29236,63057,3790,3.61
0,0698193628,29,45,11,7464,22354,968,3.8
0,0316469742,11,23,2,7196,19416,425,4.1
0,0316438839,3,9,0,4544,10471,247,3.75
0,0698413067,5,10,1,3601,7093,393,3.88
0,0812989422,25,43,6,42956,123100,5344,3.75
0,1466887222,12,23,3,3481,10008,459,3.84
0,1501120565,29,49,12,9679,21119,909,4.35
0,1501160788,180,360,67,207187,489451,24788,4.25
0,0399574212,7,13,1,3895,8997,305,3.84
0,1460396618,15,20,4,6669,17946,639,4.13
0,0385350910,23,37,6,32005,78369,3533,3.85
0,1455536393,3,10,0,9065,21060,837,3.87
0,0345511271,734,1341,82,25934,59049,2507,4.27
0,0062391895,18,22,8,5599,11037,772,3.99
0,0698192982,13730,33232,1611,20783,46931,2403,4.31
0,1466862629,17,26,2,7805,17683,753,4.08
0,0802189458,1,4,0,6690,11677,836,4.01
0,0062468855,27,39,7,4448,9975,426,4.13
0,1501110810,12,23,3,4315,8421,462,4.01
0,1501150359,17,31,4,5347,13786,629,4.06
0,0399575618,2,11,0,4299,9196,346,4.02
0,0062436619,7883,13883,1053,11810,21679,1353,4.16
0,0698195817,110,132,33,32852,62351,3046,4.41
0,0698176197,26,49,9,4895,11883,543,4.02
0,0698190459,85,104,23,18501,37090,2006,4.31
0,1250105277,4,9,0,1925,4974,119,4.3
0,0062425250,15,24,4,6404,12719,600,3.97
0,146039643X,13,26,1,7109,16450,703,3.87
0,0062371908,98,142,34,23297,50785,2758,4.08
0,1101966963,7288,17923,725,9624,21947,917,3.8
0,0778319814,47284,119939,4982,61492,150541,5843,4.03
0,0698406850,12,18,5,8307,15219,450,4.43
0,0062389467,12,21,4,4220,9251,546,3.95
0,0062273620,2579,5321,263,4077,10393,373,3.93
0,0062448072,4598,8921,630,6567,12863,824,4.04
0,0425284360,49,65,14,17614,50446,1825,4.38
0,0996839445,3074,6832,399,5483,12478,611,4.48
0,0345459504,79,132,15,22377,45612,1507,3.7
0,0451488024,180,835,25,1699,4330,197,3.84
0,1627795952,36,72,12,24077,57578,2959,3.99
0,0062381709,33,88,4,10613,24531,849,4.04
0,0698193288,2495,7273,217,18445,43147,1678,4.41
0,0385353790,4662,22650,717,6956,27682,921,3.81
0,0062250825,1,4,0,13995,26593,860,4.43
0,140006595X,9218,19542,1917,17120,37775,2836,3.63
0,0345511492,10364,20262,1180,14120,26502,1603,3.73
0,1501119818,4454,8205,673,5143,9517,728,3.91
0,1466867515,2031,4655,334,22482,39572,1784,4.3
