,publisher,author,isbn,date,title,weeks_on_list,no_of_words_title,ratings_count,reviews_count,text_reviews_count,work_ratings_count,work_reviews_count,work_text_reviews_count,average_rating,popularity
161,Simon & Schuster,Brad Thor,1416586768,2011-09-04,FULL BLACK,4,2,45,80,11,18506,28705,737,4.27,False
162,"Little, Brown",James Patterson and Neil McMahon,0316097373,2011-04-24,TOYS,4,1,29,78,7,11978,22513,1330,3.37,False
163,Random House,Lisa Gardner,0553901133,2011-03-20,ALONE,4,1,108,200,32,53828,102924,2352,3.96,False
164,Penguin,Shari Lapena,0525505318,2018-06-09,THE COUPLE NEXT DOOR,3,4,827,1338,92,327118,642636,24729,3.78,False
165,St. Martin's,Mary Kay Andrews,1250126096,2018-06-09,THE HIGH TIDE CLUB,3,4,6,17,2,18127,43598,2124,4.01,False
166,St. Martin's,Lisa Scottoline,1250099676,2018-05-13,AFTER ANNA,3,2,24,32,7,31119,67913,3733,3.83,False
167,"Little, Brown",James Patterson and Candice Fox,0316513229,2018-03-25,FIFTY FIFTY,3,2,461,848,54,10861,31217,863,3.89,False
168,St. Martin's,JD Robb,125016155X,2018-03-04,DARK IN DEATH,3,3,7,21,1,17339,37442,1552,4.29,False
169,Tor,Brandon Sanderson,076532637X,2017-12-17,OATHBRINGER,3,1,76759,140163,5376,120167,236489,7966,4.61,False
170,Vintage,Jo Nesbo,0525435921,2017-11-12,THE SNOWMAN,3,2,130,281,20,108388,182989,8299,4.01,False
171,Scribner,Jennifer Egan,1476716757,2017-11-05,MANHATTAN BEACH,3,2,52,96,14,71629,191515,7876,3.62,False
172,"Little, Brown",James Patterson and James O Born,031627397X,2017-10-22,HAUNTED,3,1,7974,17633,751,14675,35552,1000,3.99,False
173,Viking,John le Carre,0735225117,2017-10-08,A LEGACY OF SPIES,3,4,8940,17712,1339,17698,34627,1858,3.89,False
174,"Little, Brown",James Patterson and Richard DiLallo,0316395455,2017-09-17,THE STORE,3,2,700,1197,145,9020,22444,1269,3.26,False
175,Scout,Ruth Ware,1501156004,2017-08-27,THE LYING GAME,3,3,75248,147749,6520,105661,221609,9410,3.53,False
176,Putnam,Clive Cussler and Graham Brown,0399184015,2017-07-02,NIGHTHAWK,3,1,272,679,26,5544,10809,340,4.24,False
177,Bantam,Janet Evanovich and Phoef Sutton,0553392697,2017-06-18,CURIOUS MINDS,3,2,24,50,8,20536,46025,2385,3.68,False
178,Morrow/HarperCollins,Greg Iles,0062311158,2017-04-23,MISSISSIPPI BLOOD,3,2,2327,14630,218,18083,47445,1866,4.43,False
179,Zebra,Lisa Jackson,1420136070,2017-04-02,EXPECTING TO DIE,3,3,213,1691,32,3747,10361,319,4.03,False
181,Ballantine,J P Delaney,0425285057,2017-02-26,THE GIRL BEFORE,3,3,78,136,25,119391,250838,10474,3.69,False
182,Delacorte,Danielle Steel,0345531116,2017-02-05,THE MISTRESS,3,2,255,536,32,8994,19454,599,3.84,False
183,Berkley,Nora Roberts,0425280128,2017-01-08,ISLAND OF GLASS,3,3,10086,21576,922,17551,35759,1283,4.24,False
184,Grand Central,James Patterson and Kathryn Fox,1455568139,2016-11-06,MISSING,3,1,3,6,1,7333,18141,505,3.79,False
185,"Little, Brown",James Patterson and Maxine Paetro,031627402X,2016-10-30,WOMAN OF GOD,3,3,9222,21437,1371,12886,27802,1609,3.83,False
186,Gallery Books,Catherine Coulter,1501150316,2016-09-11,INSIDIOUS,3,1,12,42,1,7363,17513,616,4.06,False
187,Delacorte,Danielle Steel,1101885572,2016-08-07,MAGIC,3,1,3,13,2,6711,13559,481,3.92,False
188,Berkley,Nora Roberts,042528011X,2016-07-17,BAY OF SIGHS,3,3,11230,23863,935,18568,37264,1245,4.15,False
189,Bantam,Dean Koontz,0345545966,2016-01-10,ASHLEY BELL,3,2,10788,25860,1787,15952,36474,2264,3.6,False
190,Atria,Jennifer Weiner,1451617836,2015-09-13,WHO DO YOU LOVE,3,4,22,41,6,35586,75149,3191,3.75,False
191,HarperCollins,Joyce Maynard,0061957658,2014-02-23,LABOR DAY,3,2,54,95,20,31058,60342,3394,3.58,False
192,Ecco/HarperCollins,Amy Tan,0062107313,2013-12-08,THE VALLEY OF AMAZEMENT,3,4,31709,72758,4251,38601,85588,4785,3.64,False
194,Tor/Tom Doherty Associates,Robert Jordan and Brandon Sanderson,1429997176,2013-04-28,A MEMORY OF LIGHT,3,4,117,176,32,106306,159176,6006,4.52,False
195,Simon & Schuster,Kyra Davis,1476711100,2013-04-21,THE STRANGER,3,2,9760,17061,621,11483,19402,653,3.71,False
196,Grand Central Publishing,Sandra Brown,1455546348,2013-03-31,MIRROR IMAGE,3,2,11,27,1,12926,22318,757,4.01,False
197,Delacorte,Danielle Steel,1101884037,2018-06-09,THE CAST,2,2,209,365,24,5542,14456,441,4.0,False
198,Morrow,Dorothea Benton Frank,0062390821,2018-06-09,BY INVITATION ONLY,2,3,849,2839,142,12047,28033,1201,3.82,False
199,Zebra,Lisa Jackson and Nancy Bush,1420136135,2018-05-20,ONE LAST BREATH,2,3,162,3263,43,2065,9517,208,3.91,False
200,Putnam,CJ Box,0399176624,2018-04-22,THE DISAPPEARED,2,2,5536,9554,772,10909,22267,1044,4.21,False
201,Delacorte,Danielle Steel,1101884096,2018-04-15,ACCIDENTAL HEROES,2,2,260,462,38,7781,18398,675,4.09,False
202,Putnam,Clive Cussler and Graham Brown,0735215537,2018-04-08,THE RISING SEA,2,3,213,400,30,4542,10400,281,4.21,False
203,Delacorte,Danielle Steel,1101884002,2018-02-18,FALL FROM GRACE,2,3,236,429,37,5960,14363,500,4.05,False
204,Berkley,Christine Feehan,0451488512,2018-02-18,JUDGMENT ROAD,2,2,316,904,69,6817,15216,980,4.21,False
205,Grand Central,Douglas Preston and Lincoln Child,145553692X,2018-02-11,CITY OF ENDLESS NIGHT,2,4,2,4,0,128,571,7,4.35,False
206,Morrow,Karin Slaughter,0062430262,2018-01-14,THE GOOD DAUGHTER,2,3,73733,159593,6359,114814,308286,9702,4.09,False
207,Bantam,Dean Koontz,0345546784,2017-12-03,THE SILENT CORNER,2,3,43,73,18,26542,68327,2806,3.95,False
208,Putnam,Clive Cussler and Boyd Morrison,039957557X,2017-12-03,TYPHOON FURY,2,2,152,345,26,4840,10703,301,4.28,False
209,Simon & Schuster,Mary Higgins Clark and Alafair Burke,150117164X,2017-12-03,EVERY BREATH YOU TAKE,2,4,6091,12864,638,9793,22221,821,3.97,False
210,Berkley,Christine Feehan,0399583971,2017-11-19,LEOPARD'S BLOOD,2,2,154,324,20,2964,7445,283,4.28,False
211,Knopf,Tom Hanks,1101946156,2017-11-19,UNCOMMON TYPE,2,2,24748,65568,4349,31732,82998,5538,3.44,False
212,Delacorte,Danielle Steel,1101884061,2017-11-05,FAIRYTALE,2,1,375,960,64,7215,18267,589,3.91,False
213,Minotaur,Louise Penny,1250066190,2017-09-24,GLASS HOUSES,2,2,28681,69189,4003,40061,93183,4793,4.3,False
214,Delacorte,Danielle Steel,0345531086,2017-07-23,THE DUCHESS,2,2,4197,9118,566,8485,18572,746,4.01,False
215,Putnam,Mike Maden,0735215863,2017-07-09,TOM CLANCY: POINT OF CONTACT,2,5,268,522,41,5247,11692,347,3.99,False
216,Morrow,Dorothea Benton Frank,0062390783,2017-06-11,"SAME BEACH, NEXT YEAR",2,4,684,2478,92,12669,28176,1145,3.55,False
217,Delacorte,Danielle Steel,110188391X,2017-05-28,AGAINST ALL ODDS,2,3,240,474,30,6838,15818,426,4.04,False
218,St. Martin's,Lisa Scottoline,1250099587,2017-05-07,ONE PERFECT LIE,2,3,25,43,13,25217,53303,2683,3.78,False
219,HQN,Linda Lael Miller,037378970X,2017-04-16,FOREVER A HERO,2,3,120,776,11,1549,4215,142,4.02,False
220,Putnam,C J Box,0399176616,2017-04-16,VICIOUS CIRCLE,2,2,5292,9125,718,10372,18944,896,4.26,False
221,Delacorte,Danielle Steel,110188388X,2017-04-02,DANGEROUS GAMES,2,2,2625,6160,323,5964,13304,429,3.87,False
223,St. Martin's,B A Paris,1250121019,2016-12-18,BEHIND CLOSED DOORS,2,3,41,67,15,294135,616566,26049,3.95,False
224,Ballantine,Tess Gerritsen,0345543866,2016-08-07,DIE AGAIN,2,2,47,101,5,22583,48790,1969,4.18,False
225,Putnam,Grant Blackwood,0399176802,2016-07-10,TOM CLANCY: DUTY AND HONOR,2,5,2617,5891,287,5291,11076,379,3.76,False
226,"Little, Brown",James Patterson with Max DiLallo,0316317128,2016-07-03,ZOO 2,2,2,3555,8586,473,5026,10877,599,3.64,False
